file_path,category_urdu,category_english,text_sample
20250618_000944_اردو صحافت پر جدید تیکنالوجی کے اثرات_ مضمون نگار_.txt,سیاست,politics,"Title: اردو صحافت پر جدید تیکنالوجی کے اثرات، مضمون نگار: محمد سہیل

Published: -دسمبر 31, 2024
Auth..."
20250618_000944_حسرت کا تصور عشق_ مضمون نگار_ محمد عارف.txt,سیاست,politics,"Title: حسرت کا تصور عشق، مضمون نگار: محمد عارف

Published: -دسمبر 31, 2024
Author: 
Original URL: ht..."
20250618_000944_ناقص تغذے کے اثرات_ ماخذ_ ہماری غذا_ مصنف_ شکیل اح.txt,سیاست,politics,"Title: ناقص تغذے کے اثرات، ماخذ: ہماری غذا، مصنف: شکیل احمد

Published: -دسمبر 30, 2024
Author: 
Ori..."
20250618_000948_انسان بحیثیت سماجی حیوان_ ماخذ_ ابتدائی علم شہریت_.txt,سیاست,politics,"Title: انسان بحیثیت سماجی حیوان، ماخذ: ابتدائی علم شہریت: شریف الحسن نقوی، ایس این چٹوپادھیائے

Publ..."
20250618_000948_حیات قدیمہ اور عصر ماقبل تاریخ_ ماخذ_ قدیم ہندوستا.txt,سیاست,politics,Title: حیات قدیمہ اور عصر ماقبل تاریخ، ماخذ: قدیم ہندوستان کی ثقافت و تہذیب تاریخی پس منظر میں، مصنف...
20250618_000948_فرد کی قدر شناسی اور اثبات اقدار کی صلاحیت_ ماخذ_ .txt,سیاست,politics,Title: فرد کی قدر شناسی اور اثبات اقدار کی صلاحیت، ماخذ: انسان اپنی تلاش میں، مصنف: رولومے، مترجم: ز...
20250618_000952_خواجہ حسن ثانی نظامی کا اسلوب_ مضمون نگار_ عزیز اح.txt,سیاست,politics,"Title: خواجہ حسن ثانی نظامی کا اسلوب، مضمون نگار: عزیز احمد خان

Published: -دسمبر 26, 2024
Author: ..."
20250618_000952_ریاض الرحم_ن شروانی_ حیات و خدمات_ مضمون نگار_ محم.txt,سیاست,politics,"Title: ریاض الرحمٰن شروانی: حیات و خدمات، مضمون نگار: محمد سلیم قدوائی

Published: -دسمبر 27, 2024
A..."
20250618_000952_چھوٹا کشمیر کا قدا_ور شاعر_ رسا جاودانی_ مضمون نگا.txt,سیاست,politics,"Title: چھوٹا کشمیر کا قدآور شاعر: رسا جاودانی، مضمون نگار: شہاب عنایت ملک

Published: -دسمبر 27, 20..."
20250618_000956_انور ندیم کے قلمی خاکے__جلتے توے کی مسکراہٹ_ کے حو.txt,سیاست,politics,"Title: انور ندیم کے قلمی خاکے،’جلتے توے کی مسکراہٹ‘ کے حوالے سے، مضمون نگار: محمد اویس سنبھلی

Publi..."
20250618_000956_ظفر گورکھپوری کی شخصیت اور شاعری میں مٹی کی مہک_ م.txt,سیاست,politics,"Title: ظفر گورکھپوری کی شخصیت اور شاعری میں مٹی کی مہک، مضمون نگار: اشتیاق سعید

Published: -دسمبر 2..."
20250618_000956_عزیز بانو داراب وفا_ مضمون نگار_ محمد مستمر.txt,سیاست,politics,"Title: عزیز بانو داراب وفا، مضمون نگار: محمد مستمر

Published: -دسمبر 26, 2024
Author: 
Original URL..."
